early_stopping/best_valid_loss,early_stopping/checks_since_best,early_stopping/distance_above_best,epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,offset/C,scale/many-body/C,step,test/test/energy_mae,test/test/energy_rmse,test/test/forces_mae,test/test/forces_rmse,test/test/forces_rmse_batchwise,test/test/per_atom_energy_mae,test/test/per_atom_energy_rmse,test/test/stress_mae,test/test/stress_rmse,test/test/virial_mae,test/test/virial_rmse,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/train/stress_mae,test/train/stress_rmse,test/train/virial_mae,test/train/virial_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,test/valid/stress_mae,test/valid/stress_rmse,test/valid/virial_mae,test/valid/virial_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise,valid/metrics/stress_mae,valid/metrics/stress_rmse,valid/metrics/virial_mae,valid/metrics/virial_rmse
,,,,0.01,0.01,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-6.538455009460449,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7.011208534240723,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05473256111145,6,0.020091772079467773,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.356360673904419,,307.15789794921875,,,,,,1.6154948472976685,0.4585503041744232,2.074824333190918,22.896163940429688,36.842063903808594,1.1142840385437012,1.6253465414047241,1.6154948472976685,0.3672562539577484,0.4723179042339325,0.4585503041744232,0.04574652388691902,0.09530244767665863,20.453079223632812,49.80059051513672
,,,,0.01,0.01,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-6.530190944671631,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7.008551597595215,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0373947620391846,0,0.0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.362313747406006,,306.868408203125,,,,,,1.5439115762710571,0.48933175206184387,2.0373947620391846,25.456228256225586,40.57307815551758,1.0913724899291992,1.551638126373291,1.5439115762710571,0.39567381143569946,0.5031861662864685,0.48933175206184387,0.04846563562750816,0.09912583231925964,20.2041072845459,47.78096008300781
,,,0,,,,,,,0,26.93579864501953,42.46415328979492,1.1332226991653442,1.5994206666946411,1.6222851276397705,0.42703694105148315,0.6041758060455322,0.050165653228759766,0.0994732603430748,19.277807235717773,44.46615982055664,23.204835891723633,35.58777618408203,1.2557284832000732,1.745638132095337,1.7304601669311523,0.4539264738559723,0.8870461583137512,0.043372973799705505,0.08639343082904816,17.253158569335938,32.94696044921875,25.456228256225586,39.90672302246094,1.095543384552002,1.578647494316101,1.5480632781982422,0.39567381143569946,0.5732113122940063,0.04846563562750816,0.09742842614650726,20.2041072845459,45.97694396972656,,,,,,,,,,,,,,,,,,,,,,,,
