epoch,lr-Adam/non-decayable,lr-Adam/normal,n_learnable_parameters,n_parameters,offset/C,step,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/train/stress_mae,test/train/stress_rmse,test/train/virial_mae,test/train/virial_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,test/valid/stress_mae,test/valid/stress_rmse,test/valid/virial_mae,test/valid/virial_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise,valid/metrics/stress_mae,valid/metrics/stress_rmse,valid/metrics/virial_mae,valid/metrics/virial_rmse
14,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,0.2680034637451172,,4035.0,,,,,,0.64466792345047,0.07388605177402496,0.7829289436340332,1.199278473854065,1.6591060161590576,0.4915210008621216,0.6899292469024658,0.64466792345047,0.04727811738848686,0.07984032481908798,0.07388605177402496,0.01930854842066765,0.038222216069698334,6.469718933105469,12.984610557556152
,0.0001,0.0001,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099299907684326,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,0.20602895319461823,,5603.0,,,,,,0.641848087310791,0.0773845762014389,0.7833518385887146,1.9156599044799805,2.680537462234497,0.4892234206199646,0.6869465708732605,0.641848087310791,0.05185899883508682,0.08068465441465378,0.0773845762014389,0.01873139664530754,0.03713329881429672,6.223358154296875,12.607178688049316
,0.0001,0.0001,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099424839019775,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,0.2750122547149658,,3728.0,,,,,,0.6388381719589233,0.0729622170329094,0.7758756875991821,1.3191072940826416,1.977853775024414,0.4864909052848816,0.6840751767158508,0.6388381719589233,0.04656510427594185,0.07783972471952438,0.0729622170329094,0.019260261207818985,0.038033291697502136,6.573174476623535,13.51745891571045
,0.0001,0.0001,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099520683288574,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,0.3424100875854492,,3160.0,,,,,,0.6369815468788147,0.07183250039815903,0.7724496722221375,1.3116708993911743,1.7974028587341309,0.48546093702316284,0.6817416548728943,0.6369815468788147,0.047139834612607956,0.07732564955949783,0.07183250039815903,0.01899873837828636,0.03740605711936951,6.4754157066345215,13.088462829589844
