time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
4150,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5299114924191295
4200,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.524096492433409
4250,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5297613235641938
4300,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5374947799564855
4350,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5340574743448365
4400,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5331634399472074
4450,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5391450189802371
4500,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5304403814550265
4550,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5381133516036944
4600,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5298200758101037
4650,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5379316270725223
4700,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5438646188882552
4750,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5379058489549928
4800,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5405459186215376
4850,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5383225583274616
4900,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5385458611027654
4950,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5353624559385932
5000,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5409769004144014
5050,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5448642799571957
5100,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5454491116814184
5150,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5330593648163209
5200,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5420641225023477
5250,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5398767607213282
